start_date,end_date,category,start,stop,miles,purpose,hour,day,weekday,month
2016-12-09 12:09:00,12-09-2016 12:24,Business,Cary,Apex,5.1,Errand/Supplies,12,9,Friday,12
2016-12-09 13:15:00,12-09-2016 13:43,Business,Apex,Cary,8.8,Temporary Site,13,9,Friday,12
2016-12-09 20:11:00,12-09-2016 20:34,Business,Cary,Cary,5.6,Meeting,20,9,Friday,12
2016-12-09 22:03:00,12-09-2016 22:57,Business,Cary,Cary,18.9,Customer Visit,22,9,Friday,12
2016-12-10 12:43:00,12-10-2016 13:16,Business,Cary,Fuquay-Varina,15.6,Meeting,12,10,Saturday,12
2016-12-10 14:42:00,12-10-2016 15:18,Business,Fuquay-Varina,Cary,15.6,Errand/Supplies,14,10,Saturday,12
2016-12-10 18:17:00,12-10-2016 18:27,Business,Cary,Morrisville,3.0,Meal/Entertain,18,10,Saturday,12
2016-12-10 22:09:00,12-10-2016 22:21,Business,Morrisville,Cary,3.1,Customer Visit,22,10,Saturday,12
2016-12-11 16:06:00,12-11-2016 16:16,Business,Cary,Morrisville,3.0,Meal/Entertain,16,11,Sunday,12
2016-12-11 19:05:00,12-11-2016 19:15,Business,Morrisville,Cary,4.8,Errand/Supplies,19,11,Sunday,12
2016-12-11 21:48:00,12-11-2016 21:56,Business,Cary,Cary,2.1,Errand/Supplies,21,11,Sunday,12
2016-12-12 13:22:00,12-12-2016 13:32,Business,Cary,Cary,3.1,Errand/Supplies,13,12,Monday,12
2016-12-12 13:36:00,12-12-2016 13:51,Business,Cary,Apex,4.4,Meal/Entertain,13,12,Monday,12
2016-12-12 14:26:00,12-12-2016 14:39,Business,Apex,Cary,4.7,Customer Visit,14,12,Monday,12
2016-12-12 17:51:00,12-12-2016 18:01,Business,Cary,Morrisville,3.0,Meal/Entertain,17,12,Monday,12
2016-12-12 20:48:00,12-12-2016 20:57,Business,Morrisville,Cary,3.0,Customer Visit,20,12,Monday,12
